record_id,date,year,day_of_year,week_of_year,month,store_id,category,weekly_sales,units_sold,is_promotion,promotion_discount,store_size_factor,avg_temperature_c
33,2020-08-17,2020,33,34,8,S01,Electronics,16526.52,511,0,0.0,0.888,23.5
34,2020-08-24,2020,34,35,8,S01,Electronics,15471.31,404,0,0.0,0.888,23.4
35,2020-08-31,2020,35,36,8,S01,Electronics,17398.16,573,1,0.17,0.888,12.9
36,2020-09-07,2020,36,37,9,S01,Electronics,16347.6,602,0,0.0,0.888,7.5
37,2020-09-14,2020,37,38,9,S01,Electronics,14638.52,546,0,0.0,0.888,19.5
38,2020-09-21,2020,38,39,9,S01,Electronics,14964.13,364,0,0.0,0.888,21.4
39,2020-09-28,2020,39,40,9,S01,Electronics,15774.56,397,0,0.0,0.888,12.7
40,2020-10-05,2020,40,41,10,S01,Electronics,14829.23,553,0,0.0,0.888,9.9
41,2020-10-12,2020,41,42,10,S01,Electronics,15945.39,518,0,0.0,0.888,7.3
42,2020-10-19,2020,42,43,10,S01,Electronics,17062.77,933,0,0.0,0.888,21.7
43,2020-10-26,2020,43,44,10,S01,Electronics,16044.54,379,0,0.0,0.888,4.0
44,2020-11-02,2020,44,45,11,S01,Electronics,16260.15,521,0,0.0,0.888,1.8
45,2020-11-09,2020,45,46,11,S01,Electronics,16694.48,523,0,0.0,0.888,0.5
46,2020-11-16,2020,46,47,11,S01,Electronics,24584.86,677,1,0.18,0.888,-2.1
47,2020-11-23,2020,47,48,11,S01,Electronics,28807.26,982,1,0.22,0.888,5.7
48,2020-11-30,2020,48,49,11,S01,Electronics,27233.74,776,1,0.15,0.888,3.9
49,2020-12-07,2020,49,50,12,S01,Electronics,21716.66,516,1,0.08,0.888,2.6
50,2020-12-14,2020,50,51,12,S01,Electronics,26032.88,1182,1,0.13,0.888,0.6
51,2020-12-21,2020,51,52,12,S01,Electronics,21862.24,644,1,0.23,0.888,1.5
52,2020-12-28,2020,52,53,12,S01,Electronics,26332.09,671,1,0.16,0.888,-0.2
53,2021-01-04,2021,1,1,1,S01,Electronics,18493.63,522,0,0.0,0.888,13.6
54,2021-01-11,2021,2,2,1,S01,Electronics,17814.38,867,0,0.0,0.888,15.1
55,2021-01-18,2021,3,3,1,S01,Electronics,16720.41,831,0,0.0,0.888,-4.6
56,2021-01-25,2021,4,4,1,S01,Electronics,18417.23,495,0,0.0,0.888,3.9
57,2021-02-01,2021,5,5,2,S01,Electronics,17334.25,534,0,0.0,0.888,4.2
58,2021-02-08,2021,6,6,2,S01,Electronics,18453.85,946,1,0.2,0.888,11.9
59,2021-02-15,2021,7,7,2,S01,Electronics,15816.16,732,1,0.19,0.888,11.4
60,2021-02-22,2021,8,8,2,S01,Electronics,17104.34,674,0,0.0,0.888,-2.2
61,2021-03-01,2021,9,9,3,S01,Electronics,15254.65,469,0,0.0,0.888,8.5
62,2021-03-08,2021,10,10,3,S01,Electronics,16794.19,607,0,0.0,0.888,18.2
63,2021-03-15,2021,11,11,3,S01,Electronics,16406.4,485,0,0.0,0.888,4.8
64,2021-03-22,2021,12,12,3,S01,Electronics,15967.78,531,0,0.0,0.888,19.5
65,2021-03-29,2021,13,13,3,S01,Electronics,15230.92,618,0,0.0,0.888,18.9
66,2021-04-05,2021,14,14,4,S01,Electronics,15985.39,463,0,0.0,0.888,4.8
67,2021-04-12,2021,15,15,4,S01,Electronics,17379.48,703,0,0.0,0.888,17.9
68,2021-04-19,2021,16,16,4,S01,Electronics,15840.57,377,1,0.23,0.888,25.0
69,2021-04-26,2021,17,17,4,S01,Electronics,16737.2,465,0,0.0,0.888,17.4
70,2021-05-03,2021,18,18,5,S01,Electronics,16995.47,430,0,0.0,0.888,24.4
71,2021-05-10,2021,19,19,5,S01,Electronics,16479.47,475,0,0.0,0.888,16.5
72,2021-05-17,2021,20,20,5,S01,Electronics,16513.04,688,0,0.0,0.888,18.6
73,2021-05-24,2021,21,21,5,S01,Electronics,17981.93,519,0,0.0,0.888,39.8
74,2021-05-31,2021,22,22,5,S01,Electronics,16953.23,405,0,0.0,0.888,20.8
75,2021-06-07,2021,23,23,6,S01,Electronics,17660.73,884,0,0.0,0.888,35.0
76,2021-06-14,2021,24,24,6,S01,Electronics,15439.87,632,0,0.0,0.888,22.3
77,2021-06-21,2021,25,25,6,S01,Electronics,17106.81,492,1,0.12,0.888,29.5
78,2021-06-28,2021,26,26,6,S01,Electronics,18824.02,472,0,0.0,0.888,21.3
79,2021-07-05,2021,27,27,7,S01,Electronics,16205.44,379,1,0.06,0.888,26.2
80,2021-07-12,2021,28,28,7,S01,Electronics,16991.05,899,1,0.17,0.888,19.6
81,2021-07-19,2021,29,29,7,S01,Electronics,15114.6,482,0,0.0,0.888,30.6
82,2021-07-26,2021,30,30,7,S01,Electronics,13251.41,456,0,0.0,0.888,16.2
83,2021-08-02,2021,31,31,8,S01,Electronics,18817.01,939,0,0.0,0.888,20.5
84,2021-08-09,2021,32,32,8,S01,Electronics,19341.04,538,1,0.08,0.888,20.7
85,2021-08-16,2021,33,33,8,S01,Electronics,19318.15,672,1,0.24,0.888,23.8
86,2021-08-23,2021,34,34,8,S01,Electronics,18816.45,766,0,0.0,0.888,15.4
87,2021-08-30,2021,35,35,8,S01,Electronics,17502.54,416,0,0.0,0.888,20.2
88,2021-09-06,2021,36,36,9,S01,Electronics,19228.43,437,0,0.0,0.888,18.4
89,2021-09-13,2021,37,37,9,S01,Electronics,14728.45,627,0,0.0,0.888,18.9
90,2021-09-20,2021,38,38,9,S01,Electronics,15595.27,458,0,0.0,0.888,17.6
91,2021-09-27,2021,39,39,9,S01,Electronics,18335.56,779,0,0.0,0.888,8.0
92,2021-10-04,2021,40,40,10,S01,Electronics,16862.41,681,0,0.0,0.888,15.4
93,2021-10-11,2021,41,41,10,S01,Electronics,16550.98,399,0,0.0,0.888,15.5
94,2021-10-18,2021,42,42,10,S01,Electronics,16630.84,569,0,0.0,0.888,7.9
95,2021-10-25,2021,43,43,10,S01,Electronics,17447.08,432,0,0.0,0.888,5.4
96,2021-11-01,2021,44,44,11,S01,Electronics,17972.93,490,0,0.0,0.888,6.3
97,2021-11-08,2021,45,45,11,S01,Electronics,16349.77,575,0,0.0,0.888,10.5
98,2021-11-15,2021,46,46,11,S01,Electronics,26917.91,635,1,0.15,0.888,10.2
99,2021-11-22,2021,47,47,11,S01,Electronics,30526.6,1304,1,0.08,0.888,2.0
100,2021-11-29,2021,48,48,11,S01,Electronics,27464.67,667,1,0.1,0.888,6.2
101,2021-12-06,2021,49,49,12,S01,Electronics,30601.8,869,1,0.23,0.888,-0.2
102,2021-12-13,2021,50,50,12,S01,Electronics,24383.11,1068,1,0.11,0.888,7.6
103,2021-12-20,2021,51,51,12,S01,Electronics,26244.65,806,1,0.12,0.888,1.6
104,2021-12-27,2021,52,52,12,S01,Electronics,22442.93,567,1,0.08,0.888,0.9
105,2022-01-03,2022,1,1,1,S01,Electronics,18163.74,472,0,0.0,0.888,5.9
106,2022-01-10,2022,2,2,1,S01,Electronics,16595.02,524,0,0.0,0.888,13.5
107,2022-01-17,2022,3,3,1,S01,Electronics,15836.86,366,0,0.0,0.888,3.0
108,2022-01-24,2022,4,4,1,S01,Electronics,17234.97,429,1,0.1,0.888,10.1
109,2022-01-31,2022,5,5,1,S01,Electronics,17868.34,789,0,0.0,0.888,0.9
110,2022-02-07,2022,6,6,2,S01,Electronics,17502.41,532,0,0.0,0.888,12.2
111,2022-02-14,2022,7,7,2,S01,Electronics,16714.67,380,0,0.0,0.888,-0.1
112,2022-02-21,2022,8,8,2,S01,Electronics,18394.2,457,0,0.0,0.888,7.6
113,2022-02-28,2022,9,9,2,S01,Electronics,17215.2,475,0,0.0,0.888,26.9
114,2022-03-07,2022,10,10,3,S01,Electronics,16723.96,834,0,0.0,0.888,8.5
115,2022-03-14,2022,11,11,3,S01,Electronics,17063.65,577,0,0.0,0.888,13.6
116,2022-03-21,2022,12,12,3,S01,Electronics,16580.32,410,0,0.0,0.888,8.7
117,2022-03-28,2022,13,13,3,S01,Electronics,18692.23,534,0,0.0,0.888,13.4
118,2022-04-04,2022,14,14,4,S01,Electronics,17919.35,454,0,0.0,0.888,12.0
119,2022-04-11,2022,15,15,4,S01,Electronics,17187.33,900,0,0.0,0.888,12.4
120,2022-04-18,2022,16,16,4,S01,Electronics,17001.22,810,0,0.0,0.888,23.2
121,2022-04-25,2022,17,17,4,S01,Electronics,17714.29,625,1,0.1,0.888,13.2
122,2022-05-02,2022,18,18,5,S01,Electronics,16253.57,778,0,0.0,0.888,15.3
123,2022-05-09,2022,19,19,5,S01,Electronics,16524.16,503,0,0.0,0.888,29.1
124,2022-05-16,2022,20,20,5,S01,Electronics,16970.85,553,0,0.0,0.888,22.0
125,2022-05-23,2022,21,21,5,S01,Electronics,18334.24,906,0,0.0,0.888,22.7
126,2022-05-30,2022,22,22,5,S01,Electronics,16204.53,790,0,0.0,0.888,18.9
127,2022-06-06,2022,23,23,6,S01,Electronics,17635.78,394,0,0.0,0.888,28.9
128,2022-06-13,2022,24,24,6,S01,Electronics,16270.61,503,1,0.18,0.888,24.4
129,2022-06-20,2022,25,25,6,S01,Electronics,15260.24,435,0,0.0,0.888,37.3
130,2022-06-27,2022,26,26,6,S01,Electronics,17609.61,759,1,0.1,0.888,12.8
131,2022-07-04,2022,27,27,7,S01,Electronics,19313.24,574,0,0.0,0.888,34.9
132,2022-07-11,2022,28,28,7,S01,Electronics,16888.66,392,1,0.21,0.888,24.7
133,2022-07-18,2022,29,29,7,S01,Electronics,17573.49,606,0,0.0,0.888,20.1
134,2022-07-25,2022,30,30,7,S01,Electronics,17412.77,896,1,0.08,0.888,26.0
135,2022-08-01,2022,31,31,8,S01,Electronics,17936.33,861,0,0.0,0.888,19.4
136,2022-08-08,2022,32,32,8,S01,Electronics,18568.47,513,0,0.0,0.888,24.0
137,2022-08-15,2022,33,33,8,S01,Electronics,20653.46,595,0,0.0,0.888,21.2
138,2022-08-22,2022,34,34,8,S01,Electronics,19180.55,489,0,0.0,0.888,19.7
139,2022-08-29,2022,35,35,8,S01,Electronics,19139.64,1049,0,0.0,0.888,20.3
140,2022-09-05,2022,36,36,9,S01,Electronics,21328.7,1064,0,0.0,0.888,17.8
141,2022-09-12,2022,37,37,9,S01,Electronics,19615.39,532,0,0.0,0.888,9.4
142,2022-09-19,2022,38,38,9,S01,Electronics,18867.71,705,0,0.0,0.888,16.4
143,2022-09-26,2022,39,39,9,S01,Electronics,17964.29,770,0,0.0,0.888,3.8
144,2022-10-03,2022,40,40,10,S01,Electronics,16511.38,720,1,0.08,0.888,9.6
145,2022-10-10,2022,41,41,10,S01,Electronics,18563.81,661,0,0.0,0.888,9.7
146,2022-10-17,2022,42,42,10,S01,Electronics,18913.91,795,1,0.08,0.888,8.2
147,2022-10-24,2022,43,43,10,S01,Electronics,18057.0,407,0,0.0,0.888,8.0
148,2022-10-31,2022,44,44,10,S01,Electronics,18208.43,494,0,0.0,0.888,2.6
149,2022-11-07,2022,45,45,11,S01,Electronics,16103.0,817,1,0.22,0.888,4.1
150,2022-11-14,2022,46,46,11,S01,Electronics,31609.15,1329,1,0.18,0.888,4.2
151,2022-11-21,2022,47,47,11,S01,Electronics,26300.32,1391,1,0.14,0.888,8.9
152,2022-11-28,2022,48,48,11,S01,Electronics,28867.56,763,1,0.18,0.888,2.7
153,2022-12-05,2022,49,49,12,S01,Electronics,29163.3,789,1,0.16,0.888,-2.3
154,2022-12-12,2022,50,50,12,S01,Electronics,27328.39,880,1,0.07,0.888,4.2
155,2022-12-19,2022,51,51,12,S01,Electronics,21482.91,1191,1,0.19,0.888,5.6
156,2022-12-26,2022,52,52,12,S01,Electronics,25673.71,732,1,0.15,0.888,-7.3
157,2023-01-02,2023,1,1,1,S01,Electronics,21987.91,736,0,0.0,0.888,-0.3
158,2023-01-09,2023,2,2,1,S01,Electronics,17709.93,775,1,0.2,0.888,7.4
159,2023-01-16,2023,3,3,1,S01,Electronics,16316.77,494,0,0.0,0.888,8.6
160,2023-01-23,2023,4,4,1,S01,Electronics,16534.97,396,0,0.0,0.888,7.8
161,2023-01-30,2023,5,5,1,S01,Electronics,17145.5,391,0,0.0,0.888,10.2
162,2023-02-06,2023,6,6,2,S01,Electronics,17971.19,421,0,0.0,0.888,2.3
163,2023-02-13,2023,7,7,2,S01,Electronics,18596.94,439,0,0.0,0.888,1.9
164,2023-02-20,2023,8,8,2,S01,Electronics,16910.51,501,0,0.0,0.888,6.8
165,2023-02-27,2023,9,9,2,S01,Electronics,17330.42,755,0,0.0,0.888,18.0
166,2023-03-06,2023,10,10,3,S01,Electronics,18520.4,874,0,0.0,0.888,10.6
167,2023-03-13,2023,11,11,3,S01,Electronics,18677.98,501,0,0.0,0.888,13.5
168,2023-03-20,2023,12,12,3,S01,Electronics,18544.69,469,0,0.0,0.888,6.0
169,2023-03-27,2023,13,13,3,S01,Electronics,17180.43,608,1,0.16,0.888,12.2
170,2023-04-03,2023,14,14,4,S01,Electronics,17888.19,487,0,0.0,0.888,19.3
171,2023-04-10,2023,15,15,4,S01,Electronics,18442.53,668,0,0.0,0.888,14.7
172,2023-04-17,2023,16,16,4,S01,Electronics,16361.06,872,0,0.0,0.888,24.5
173,2023-04-24,2023,17,17,4,S01,Electronics,17164.72,580,0,0.0,0.888,15.3
174,2023-05-01,2023,18,18,5,S01,Electronics,17439.04,627,0,0.0,0.888,17.6
175,2023-05-08,2023,19,19,5,S01,Electronics,16121.94,871,0,0.0,0.888,25.0
176,2023-05-15,2023,20,20,5,S01,Electronics,17632.33,592,1,0.1,0.888,19.9
177,2023-05-22,2023,21,21,5,S01,Electronics,18798.03,488,0,0.0,0.888,26.8
178,2023-05-29,2023,22,22,5,S01,Electronics,17596.82,631,0,0.0,0.888,19.4
179,2023-06-05,2023,23,23,6,S01,Electronics,18743.65,527,0,0.0,0.888,24.4
180,2023-06-12,2023,24,24,6,S01,Electronics,18701.15,739,0,0.0,0.888,23.8
181,2023-06-19,2023,25,25,6,S01,Electronics,17718.83,572,0,0.0,0.888,15.8
182,2023-06-26,2023,26,26,6,S01,Electronics,16348.69,614,0,0.0,0.888,21.0
183,2023-07-03,2023,27,27,7,S01,Electronics,19983.15,500,0,0.0,0.888,26.3
184,2023-07-10,2023,28,28,7,S01,Electronics,19883.47,950,1,0.21,0.888,32.3
185,2023-07-17,2023,29,29,7,S01,Electronics,17680.52,528,0,0.0,0.888,18.3
186,2023-07-24,2023,30,30,7,S01,Electronics,18133.09,428,0,0.0,0.888,24.7
187,2023-07-31,2023,31,31,7,S01,Electronics,19276.43,658,0,0.0,0.888,25.3
188,2023-08-07,2023,32,32,8,S01,Electronics,22283.32,526,0,0.0,0.888,25.0
189,2023-08-14,2023,33,33,8,S01,Electronics,16986.1,590,0,0.0,0.888,22.0
190,2023-08-21,2023,34,34,8,S01,Electronics,21595.32,1041,0,0.0,0.888,30.6
191,2023-08-28,2023,35,35,8,S01,Electronics,20214.28,521,0,0.0,0.888,26.8
192,2023-09-04,2023,36,36,9,S01,Electronics,20633.89,522,1,0.23,0.888,17.6
193,2023-09-11,2023,37,37,9,S01,Electronics,18388.61,854,0,0.0,0.888,13.3
194,2023-09-18,2023,38,38,9,S01,Electronics,18569.25,888,0,0.0,0.888,12.9
195,2023-09-25,2023,39,39,9,S01,Electronics,18010.05,794,0,0.0,0.888,12.9
196,2023-10-02,2023,40,40,10,S01,Electronics,19112.35,452,0,0.0,0.888,14.6
197,2023-10-09,2023,41,41,10,S01,Electronics,18289.2,965,0,0.0,0.888,11.1
198,2023-10-16,2023,42,42,10,S01,Electronics,19026.61,891,0,0.0,0.888,15.2
199,2023-10-23,2023,43,43,10,S01,Electronics,18084.71,472,0,0.0,0.888,14.6
200,2023-10-30,2023,44,44,10,S01,Electronics,19538.45,901,1,0.18,0.888,7.1
201,2023-11-06,2023,45,45,11,S01,Electronics,19716.89,733,0,0.0,0.888,0.4
202,2023-11-13,2023,46,46,11,S01,Electronics,27111.68,722,1,0.1,0.888,7.9
203,2023-11-20,2023,47,47,11,S01,Electronics,25752.0,701,1,0.15,0.888,9.8
204,2023-11-27,2023,48,48,11,S01,Electronics,28476.14,900,1,0.19,0.888,6.4
205,2023-12-04,2023,49,49,12,S01,Electronics,25676.52,1378,1,0.22,0.888,5.9
206,2023-12-11,2023,50,50,12,S01,Electronics,26848.64,701,1,0.13,0.888,5.7
207,2023-12-18,2023,51,51,12,S01,Electronics,27692.88,1460,1,0.24,0.888,3.1
208,2023-12-25,2023,52,52,12,S01,Electronics,27466.7,886,1,0.23,0.888,1.9
209,2020-01-06,2020,1,2,1,S01,Clothing,6828.8,155,0,0.0,0.888,8.0
210,2020-01-13,2020,2,3,1,S01,Clothing,7109.53,237,0,0.0,0.888,9.5
211,2020-01-20,2020,3,4,1,S01,Clothing,7132.11,163,0,0.0,0.888,1.0
212,2020-01-27,2020,4,5,1,S01,Clothing,7983.7,228,0,0.0,0.888,-5.5
213,2020-02-03,2020,5,6,2,S01,Clothing,7415.74,326,0,0.0,0.888,13.8
214,2020-02-10,2020,6,7,2,S01,Clothing,6892.29,355,1,0.08,0.888,0.3
215,2020-02-17,2020,7,8,2,S01,Clothing,7293.38,396,0,0.0,0.888,7.1
216,2020-02-24,2020,8,9,2,S01,Clothing,7330.71,319,0,0.0,0.888,7.7
217,2020-03-02,2020,9,10,3,S01,Clothing,7784.45,179,1,0.2,0.888,3.6
218,2020-03-09,2020,10,11,3,S01,Clothing,9134.0,331,1,0.22,0.888,15.7
219,2020-03-16,2020,11,12,3,S01,Clothing,5869.04,269,0,0.0,0.888,18.9
220,2020-03-23,2020,12,13,3,S01,Clothing,5214.37,149,0,0.0,0.888,7.9
221,2020-03-30,2020,13,14,3,S01,Clothing,5782.59,240,0,0.0,0.888,12.6
222,2020-04-06,2020,14,15,4,S01,Clothing,7638.66,179,1,0.09,0.888,21.7
223,2020-04-13,2020,15,16,4,S01,Clothing,6756.38,317,0,0.0,0.888,27.3
224,2020-04-20,2020,16,17,4,S01,Clothing,6461.79,280,0,0.0,0.888,14.4
225,2020-04-27,2020,17,18,4,S01,Clothing,6174.84,284,0,0.0,0.888,15.5
226,2020-05-04,2020,18,19,5,S01,Clothing,4413.09,137,0,0.0,0.888,12.5
227,2020-05-11,2020,19,20,5,S01,Clothing,6024.44,157,1,0.17,0.888,24.9
228,2020-05-18,2020,20,21,5,S01,Clothing,7149.71,188,0,0.0,0.888,29.4
229,2020-05-25,2020,21,22,5,S01,Clothing,6090.24,232,1,0.17,0.888,26.2
230,2020-06-01,2020,22,23,6,S01,Clothing,7322.83,181,0,0.0,0.888,18.8
231,2020-06-08,2020,23,24,6,S01,Clothing,6582.77,161,0,0.0,0.888,32.3
232,2020-06-15,2020,24,25,6,S01,Clothing,7213.57,184,0,0.0,0.888,29.3
233,2020-06-22,2020,25,26,6,S01,Clothing,6817.32,371,1,0.23,0.888,30.3
234,2020-06-29,2020,26,27,6,S01,Clothing,8346.93,388,0,0.0,0.888,29.5
235,2020-07-06,2020,27,28,7,S01,Clothing,8165.84,195,0,0.0,0.888,30.7
236,2020-07-13,2020,28,29,7,S01,Clothing,8587.48,278,1,0.24,0.888,26.1
237,2020-07-20,2020,29,30,7,S01,Clothing,9316.77,391,0,0.0,0.888,26.7
238,2020-07-27,2020,30,31,7,S01,Clothing,7503.46,333,0,0.0,0.888,26.6
239,2020-08-03,2020,31,32,8,S01,Clothing,8430.06,211,0,0.0,0.888,26.3
240,2020-08-10,2020,32,33,8,S01,Clothing,7677.1,229,0,0.0,0.888,21.1
241,2020-08-17,2020,33,34,8,S01,Clothing,9760.32,290,0,0.0,0.888,19.4
242,2020-08-24,2020,34,35,8,S01,Clothing,8892.43,370,0,0.0,0.888,24.7
243,2020-08-31,2020,35,36,8,S01,Clothing,8999.76,273,0,0.0,0.888,21.9
244,2020-09-07,2020,36,37,9,S01,Clothing,6696.28,259,0,0.0,0.888,21.1
245,2020-09-14,2020,37,38,9,S01,Clothing,7304.48,183,0,0.0,0.888,11.4
246,2020-09-21,2020,38,39,9,S01,Clothing,6614.62,287,0,0.0,0.888,10.7
247,2020-09-28,2020,39,40,9,S01,Clothing,5925.77,243,0,0.0,0.888,15.7
248,2020-10-05,2020,40,41,10,S01,Clothing,6873.84,292,0,0.0,0.888,7.5
249,2020-10-12,2020,41,42,10,S01,Clothing,7501.82,181,0,0.0,0.888,12.9
250,2020-10-19,2020,42,43,10,S01,Clothing,8513.34,266,0,0.0,0.888,11.1
251,2020-10-26,2020,43,44,10,S01,Clothing,7606.75,222,0,0.0,0.888,7.8
252,2020-11-02,2020,44,45,11,S01,Clothing,7690.06,208,0,0.0,0.888,5.5
253,2020-11-09,2020,45,46,11,S01,Clothing,8309.7,385,0,0.0,0.888,14.8
254,2020-11-16,2020,46,47,11,S01,Clothing,10332.58,548,1,0.22,0.888,11.5
255,2020-11-23,2020,47,48,11,S01,Clothing,11142.98,330,1,0.15,0.888,9.0
256,2020-11-30,2020,48,49,11,S01,Clothing,9372.51,270,1,0.07,0.888,9.3
257,2020-12-07,2020,49,50,12,S01,Clothing,9180.69,371,1,0.06,0.888,14.5
258,2020-12-14,2020,50,51,12,S01,Clothing,11185.04,406,1,0.19,0.888,3.9
259,2020-12-21,2020,51,52,12,S01,Clothing,11127.71,465,1,0.17,0.888,6.0
260,2020-12-28,2020,52,53,12,S01,Clothing,11594.63,496,1,0.21,0.888,0.1
261,2021-01-04,2021,1,1,1,S01,Clothing,6811.75,329,0,0.0,0.888,-2.6
262,2021-01-11,2021,2,2,1,S01,Clothing,8053.05,213,0,0.0,0.888,8.5
263,2021-01-18,2021,3,3,1,S01,Clothing,8001.17,289,0,0.0,0.888,-4.3
264,2021-01-25,2021,4,4,1,S01,Clothing,7426.99,186,0,0.0,0.888,4.5
265,2021-02-01,2021,5,5,2,S01,Clothing,7429.55,183,0,0.0,0.888,10.8
266,2021-02-08,2021,6,6,2,S01,Clothing,7431.11,355,0,0.0,0.888,5.7
267,2021-02-15,2021,7,7,2,S01,Clothing,8737.62,260,0,0.0,0.888,4.7
268,2021-02-22,2021,8,8,2,S01,Clothing,7735.37,237,0,0.0,0.888,9.6
269,2021-03-01,2021,9,9,3,S01,Clothing,8045.14,436,0,0.0,0.888,4.5
270,2021-03-08,2021,10,10,3,S01,Clothing,8501.71,360,0,0.0,0.888,6.4
271,2021-03-15,2021,11,11,3,S01,Clothing,7711.51,387,0,0.0,0.888,11.6
272,2021-03-22,2021,12,12,3,S01,Clothing,9038.55,428,0,0.0,0.888,13.4
273,2021-03-29,2021,13,13,3,S01,Clothing,7580.45,309,0,0.0,0.888,13.2
274,2021-04-05,2021,14,14,4,S01,Clothing,9788.66,337,1,0.21,0.888,15.6
275,2021-04-12,2021,15,15,4,S01,Clothing,10837.76,311,0,0.0,0.888,21.5
276,2021-04-19,2021,16,16,4,S01,Clothing,11654.45,338,0,0.0,0.888,21.4
277,2021-04-26,2021,17,17,4,S01,Clothing,10711.42,239,0,0.0,0.888,26.2
278,2021-05-03,2021,18,18,5,S01,Clothing,9481.99,286,0,0.0,0.888,25.2
279,2021-05-10,2021,19,19,5,S01,Clothing,10567.12,342,0,0.0,0.888,20.9
280,2021-05-17,2021,20,20,5,S01,Clothing,10918.91,296,0,0.0,0.888,21.9
281,2021-05-24,2021,21,21,5,S01,Clothing,10818.72,297,0,0.0,0.888,19.4
282,2021-05-31,2021,22,22,5,S01,Clothing,10186.55,292,0,0.0,0.888,21.2
283,2021-06-07,2021,23,23,6,S01,Clothing,9713.46,255,0,0.0,0.888,25.1
284,2021-06-14,2021,24,24,6,S01,Clothing,9716.62,283,0,0.0,0.888,35.5
285,2021-06-21,2021,25,25,6,S01,Clothing,8984.99,449,0,0.0,0.888,26.0
286,2021-06-28,2021,26,26,6,S01,Clothing,10629.6,305,0,0.0,0.888,18.8
287,2021-07-05,2021,27,27,7,S01,Clothing,11226.85,251,0,0.0,0.888,26.9
288,2021-07-12,2021,28,28,7,S01,Clothing,10593.47,376,0,0.0,0.888,28.3
289,2021-07-19,2021,29,29,7,S01,Clothing,9374.18,217,1,0.09,0.888,25.7
290,2021-07-26,2021,30,30,7,S01,Clothing,11853.35,621,1,0.23,0.888,23.9
291,2021-08-02,2021,31,31,8,S01,Clothing,9165.83,222,0,0.0,0.888,19.1
292,2021-08-09,2021,32,32,8,S01,Clothing,10424.71,359,0,0.0,0.888,27.3
293,2021-08-16,2021,33,33,8,S01,Clothing,10683.92,305,0,0.0,0.888,23.0
294,2021-08-23,2021,34,34,8,S01,Clothing,10011.49,230,1,0.24,0.888,14.2
